Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Logistic Regression,0.8083333333333333,0.6903225806451613,0.24189902034664656,0.35825892857142855,0.707924808472601
Decision Tree,0.8171666666666667,0.6615168539325843,0.3549359457422758,0.46199117214320745,0.7418215337318345
Random Forest,0.8171666666666667,0.6666666666666666,0.346646571213263,0.4561229548834903,0.7718118370197664
